source_record_id,result_rank,title,authors,year,doi,url,record_type,venue,normalized_title,exact_doi_duplicate_group,normalized_title_duplicate_group,manual_version_duplicate_group,deduplication_status,deduplication_notes
GS035,36,Network intrusion detection system based on domain adaptation for industrial control system,"J Zhang, L Yu, F Zhang",2024,,https://books.google.com/books?hl=en&lr=&id=nAL6EAAAQBAJ&oi=fnd&pg=PA430&dq=(%22network+intrusion+detection%22+OR+NIDS+OR+%22network+anomaly+detection%22,book-chapter,Artificial Intelligence Technologies and…,network intrusion detection system based on domain adaptation for industrial control system,,,,no_automatic_match,
GS036,37,A review on generative intelligence in deep learning based network intrusion detection,"M Ali, I Udoidiok, F Li, J Zhang",2024,,https://ieeexplore.ieee.org/abstract/document/10778836/,journal-article,,a review on generative intelligence in deep learning based network intrusion detection,,,,no_automatic_match,
GS037,38,Zero-shot based hybrid neural network system for enhancing zero -day attack detection,"K Saurabh, U Singh, A Mishra, R Vyas…",2024,,https://ieeexplore.ieee.org/abstract/document/10958486/,journal-article,,zero shot based hybrid neural network system for enhancing zero day attack detection,,,,no_automatic_match,
GS038,39,Deep learning techniques for network intrusion detection : A comparative survey,"AP AbdelHalim, A Abo-Alian, N Badr",2025,,https://journals.ekb.eg/article_442991.html,journal-article,International Journal of…,deep learning techniques for network intrusion detection a comparative survey,,,,no_automatic_match,
GS039,40,Heterogeneous network intrusion detection via domain adaptation in IoT environment,"J Zhang, Y Li, L Zhang",2025,10.1002/itl2.531,https://onlinelibrary.wiley.com/doi/abs/10.1002/itl2.531,journal-article,Internet Technology Letters,heterogeneous network intrusion detection via domain adaptation in iot environment,,,,no_automatic_match,
GS040,41,FN-GNN: A novel graph embedding approach for enhancing graph neural networks in network intrusion detection systems,"DH Tran, M Park",2024,,https://www.mdpi.com/2076-3417/14/16/6932,journal-article,Applied Sciences,fn gnn a novel graph embedding approach for enhancing graph neural networks in network intrusion detection systems,,,,no_automatic_match,
GS041,42,Research on Multi Modal Network Intrusion Detection Method Based on Deep Neural Network,W Huang,2025,,https://ieeexplore.ieee.org/abstract/document/11307453/,journal-article,,research on multi modal network intrusion detection method based on deep neural network,,,,no_automatic_match,
GS042,43,Advancing Network Security Through Deep Learning : A Hybrid Graph-Based and Temporal Approach to Anomaly and Threat Detection,"A Arindam, AS Baghel",2025,10.22214/ijraset.2025.71415,https://www.researchgate.net/profile/Abhirup-Arindam/publication/392266463_Advancing_Network_Security_Through_Deep_Learning_A_Hybrid_Graph-Based_and_Temporal_Approach_to_Anomaly_and_Threat_Detection/links/68488ee26b5a287c304a5a41/Advancing-Network-Security-Through-Deep-Learning-A-Hybrid-Graph-Based-and-Temporal-Approach-to-Anomaly-and-Threat-Detection.pdf,journal-article,researchgate.net,advancing network security through deep learning a hybrid graph based and temporal approach to anomaly and threat detection,,,,no_automatic_match,
GS043,44,Network anomaly detection using Deep Autoencoder and parallel Artificial Bee Colony algorithm-trained neural network,"H Hacılar, BK Dedeturk, B Bakir-Gungor…",2024,,https://peerj.com/articles/cs-2333/,journal-article,PeerJ Computer…,network anomaly detection using deep autoencoder and parallel artificial bee colony algorithm trained neural network,,,,no_automatic_match,
GS044,45,ADAP-GNN: Adaptive property-aware graph neural network for intrusion detection in IoT networks,"M Termos, Z Ghalmane, A Fadlallah, A Jaber…",2026,10.1016/j.compeleceng.2026.111051,https://www.sciencedirect.com/science/article/pii/S0045790626001230,journal-article,Computers and…,adap gnn adaptive property aware graph neural network for intrusion detection in iot networks,,,,no_automatic_match,
GS045,46,A privacy-preserving graph neural network for network intrusion detection,"X Pei, X Deng, S Tian, P Jiang…",2024,,https://ieeexplore.ieee.org/abstract/document/10568382/,journal-article,IEEE Transactions on…,a privacy preserving graph neural network for network intrusion detection,,,,no_automatic_match,
GS046,47,Network intrusion detection with feature elimination and selection using deep learning,"A Mann, MV Kiran, B Nithya…",2024,,https://ieeexplore.ieee.org/abstract/document/10543897/,proceedings-article,…Conference on Emerging…,network intrusion detection with feature elimination and selection using deep learning,,,,no_automatic_match,
GS047,48,A Two-Stage Deep Learning Framework Based on Device Address Features for Network Intrusion Detection,"Y Fan, Y Ma, X Liu, J Ma",2025,10.1007/978-3-031-94898-5_45,https://link.springer.com/chapter/10.1007/978-3-031-94898-5_45,book-chapter,International Conference on Machine Learning…,a two stage deep learning framework based on device address features for network intrusion detection,,,,no_automatic_match,
